"Time","Strom (Z)","Billia (Z)","Hatston (Z)","Fow (Z)"
"2015-01-01T00:00:00.000Z",-0.92,-0.98,-0.99,-1.03
"2015-01-01T00:15:00.000Z",-0.88,-0.84,-1,-1.05
"2015-01-01T00:30:00.000Z",-0.74,-0.74,-1.01,-1.01
"2015-01-01T00:45:00.000Z",-0.72,-0.66,-1.02,-0.93
"2015-01-01T01:00:00.000Z",-0.74,-0.57,-0.99,-0.89
"2015-01-01T01:15:00.000Z",-0.64,-0.4,-0.91,-0.87
"2015-01-01T01:30:00.000Z",-0.51,-0.27,-0.86,-0.78
"2015-01-01T01:45:00.000Z",-0.51,-0.16,-0.84,-0.67
"2015-01-01T02:00:00.000Z",-0.53,-0.04,-0.78,-0.6
"2015-01-01T02:15:00.000Z",-0.46,0.11,-0.66,-0.54
"2015-01-01T02:30:00.000Z",-0.36,0.24,-0.55,-0.44
"2015-01-01T02:45:00.000Z",-0.31,0.36,-0.45,-0.32
"2015-01-01T03:00:00.000Z",-0.27,0.47,-0.32,-0.23
"2015-01-01T03:15:00.000Z",-0.15,0.57,-0.16,-0.16
"2015-01-01T03:30:00.000Z",-0.02,0.68,-0.04,-0.09
"2015-01-01T03:45:00.000Z",0.11,0.8,0.05,-0.01
"2015-01-01T04:00:00.000Z",0.26,0.89,0.14,0.06
"2015-01-01T04:15:00.000Z",0.36,0.94,0.23,0.13
"2015-01-01T04:30:00.000Z",0.42,1,0.32,0.19
"2015-01-01T04:45:00.000Z",0.54,1.08,0.39,0.25
"2015-01-01T05:00:00.000Z",0.7,1.11,0.47,0.34
"2015-01-01T05:15:00.000Z",0.75,1.07,0.57,0.43
"2015-01-01T05:30:00.000Z",0.76,1.06,0.68,0.5
"2015-01-01T05:45:00.000Z",0.87,1.06,0.77,0.56
"2015-01-01T06:00:00.000Z",0.97,1.02,0.82,0.64
"2015-01-01T06:15:00.000Z",0.91,0.9,0.85,0.69
"2015-01-01T06:30:00.000Z",0.82,0.82,0.89,0.7
"2015-01-01T06:45:00.000Z",0.85,0.76,0.9,0.69
"2015-01-01T07:00:00.000Z",0.84,0.66,0.87,0.72
"2015-01-01T07:15:00.000Z",0.69,0.51,0.83,0.73
"2015-01-01T07:30:00.000Z",0.58,0.39,0.82,0.69
"2015-01-01T07:45:00.000Z",0.6,0.28,0.8,0.63
"2015-01-01T08:00:00.000Z",0.59,0.16,0.74,0.61
"2015-01-01T08:15:00.000Z",0.49,0.01,0.66,0.57
"2015-01-01T08:30:00.000Z",0.42,-0.11,0.6,0.5
"2015-01-01T08:45:00.000Z",0.4,-0.22,0.57,0.4
"2015-01-01T09:00:00.000Z",0.36,-0.32,0.5,0.31
"2015-01-01T09:15:00.000Z",0.26,-0.42,0.4,0.23
"2015-01-01T09:30:00.000Z",0.15,-0.53,0.27,0.14
"2015-01-01T09:45:00.000Z",0.03,-0.64,0.16,0.01
"2015-01-01T10:00:00.000Z",-0.1,-0.74,0.06,-0.11
"2015-01-01T10:15:00.000Z",-0.2,-0.8,-0.04,-0.23
"2015-01-01T10:30:00.000Z",-0.27,-0.89,-0.15,-0.34
"2015-01-01T10:45:00.000Z",-0.38,-0.99,-0.25,-0.45
"2015-01-01T11:00:00.000Z",-0.52,-1.04,-0.34,-0.56
"2015-01-01T11:15:00.000Z",-0.56,-1.02,-0.43,-0.68
"2015-01-01T11:30:00.000Z",-0.55,-1.03,-0.53,-0.75
"2015-01-01T11:45:00.000Z",-0.64,-1.05,-0.64,-0.8
"2015-01-01T12:00:00.000Z",-0.76,-1.03,-0.73,-0.87
"2015-01-01T12:15:00.000Z",-0.77,-0.91,-0.79,-0.93
"2015-01-01T12:30:00.000Z",-0.69,-0.83,-0.85,-0.93
"2015-01-01T12:45:00.000Z",-0.71,-0.78,-0.9,-0.88
"2015-01-01T13:00:00.000Z",-0.77,-0.7,-0.91,-0.87
"2015-01-01T13:15:00.000Z",-0.67,-0.54,-0.87,-0.87
"2015-01-01T13:30:00.000Z",-0.48,-0.42,-0.83,-0.8
"2015-01-01T13:45:00.000Z",-0.47,-0.32,-0.81,-0.69
"2015-01-01T14:00:00.000Z",-0.5,-0.21,-0.75,-0.63
"2015-01-01T14:15:00.000Z",-0.41,-0.05,-0.66,-0.59
"2015-01-01T14:30:00.000Z",-0.27,0.09,-0.6,-0.49
"2015-01-01T14:45:00.000Z",-0.27,0.21,-0.56,-0.37
"2015-01-01T15:00:00.000Z",-0.28,0.33,-0.46,-0.29
"2015-01-01T15:15:00.000Z",-0.23,0.45,-0.32,-0.23
"2015-01-01T15:30:00.000Z",-0.12,0.56,-0.18,-0.13
"2015-01-01T15:45:00.000Z",-0.03,0.68,-0.07,-0.02
"2015-01-01T16:00:00.000Z",0.07,0.78,0.05,0.06
"2015-01-01T16:15:00.000Z",0.2,0.85,0.18,0.11
"2015-01-01T16:30:00.000Z",0.31,0.94,0.28,0.18
"2015-01-01T16:45:00.000Z",0.44,1.05,0.36,0.25
"2015-01-01T17:00:00.000Z",0.59,1.11,0.43,0.33
"2015-01-01T17:15:00.000Z",0.66,1.11,0.51,0.4
"2015-01-01T17:30:00.000Z",0.69,1.14,0.6,0.45
"2015-01-01T17:45:00.000Z",0.82,1.17,0.7,0.51
"2015-01-01T18:00:00.000Z",0.96,1.16,0.77,0.61
"2015-01-01T18:15:00.000Z",0.95,1.06,0.84,0.69
"2015-01-01T18:30:00.000Z",0.9,1,0.93,0.72
"2015-01-01T18:45:00.000Z",0.97,0.96,0.97,0.74
"2015-01-01T19:00:00.000Z",1.01,0.88,0.96,0.79
"2015-01-01T19:15:00.000Z",0.85,0.73,0.94,0.81
"2015-01-01T19:30:00.000Z",0.72,0.61,0.93,0.78
"2015-01-01T19:45:00.000Z",0.75,0.51,0.92,0.73
"2015-01-01T20:00:00.000Z",0.75,0.39,0.86,0.73
"2015-01-01T20:15:00.000Z",0.62,0.22,0.77,0.71
"2015-01-01T20:30:00.000Z",0.51,0.08,0.74,0.63
"2015-01-01T20:45:00.000Z",0.51,-0.04,0.72,0.54
"2015-01-01T21:00:00.000Z",0.49,-0.17,0.66,0.47
"2015-01-01T21:15:00.000Z",0.4,-0.3,0.56,0.41
"2015-01-01T21:30:00.000Z",0.3,-0.42,0.45,0.3
"2015-01-01T21:45:00.000Z",0.2,-0.54,0.35,0.18
"2015-01-01T22:00:00.000Z",0.09,-0.66,0.25,0.05
"2015-01-01T22:15:00.000Z",-0.04,-0.75,0.13,-0.07
"2015-01-01T22:30:00.000Z",-0.14,-0.87,-0.01,-0.19
"2015-01-01T22:45:00.000Z",-0.28,-0.99,-0.12,-0.33
"2015-01-01T23:00:00.000Z",-0.43,-1.09,-0.21,-0.47
"2015-01-01T23:15:00.000Z",-0.5,-1.12,-0.31,-0.61
"2015-01-01T23:30:00.000Z",-0.53,-1.18,-0.43,-0.71
"2015-01-01T23:45:00.000Z",-0.63,-1.24,-0.55,-0.8
"2015-01-02T00:00:00.000Z",-0.78,-1.25,-0.66,-0.9
"2015-01-02T00:15:00.000Z",-0.82,-1.17,-0.76,-1.01
"2015-01-02T00:30:00.000Z",-0.79,-1.13,-0.86,-1.05
"2015-01-02T00:45:00.000Z",-0.85,-1.11,-0.96,-1.04
"2015-01-02T01:00:00.000Z",-0.96,-1.04,-1.01,-1.07
"2015-01-02T01:15:00.000Z",-0.92,-0.88,-1.03,-1.1
"2015-01-02T01:30:00.000Z",-0.77,-0.77,-1.04,-1.05
"2015-01-02T01:45:00.000Z",-0.74,-0.69,-1.05,-0.97
"2015-01-02T02:00:00.000Z",-0.77,-0.58,-1.02,-0.92
"2015-01-02T02:15:00.000Z",-0.65,-0.4,-0.93,-0.89
"2015-01-02T02:30:00.000Z",-0.49,-0.25,-0.87,-0.8
"2015-01-02T02:45:00.000Z",-0.48,-0.13,-0.85,-0.67
"2015-01-02T03:00:00.000Z",-0.51,0,-0.79,-0.59
"2015-01-02T03:15:00.000Z",-0.43,0.16,-0.66,-0.53
"2015-01-02T03:30:00.000Z",-0.32,0.3,-0.54,-0.42
"2015-01-02T03:45:00.000Z",-0.29,0.44,-0.44,-0.29
"2015-01-02T04:00:00.000Z",-0.23,0.56,-0.3,-0.2
"2015-01-02T04:15:00.000Z",-0.12,0.67,-0.13,-0.12
"2015-01-02T04:30:00.000Z",0.02,0.79,0,-0.05
"2015-01-02T04:45:00.000Z",0.18,0.92,0.1,0.03
"2015-01-02T05:00:00.000Z",0.33,1.02,0.2,0.11
"2015-01-02T05:15:00.000Z",0.45,1.07,0.3,0.19
"2015-01-02T05:30:00.000Z",0.52,1.15,0.39,0.25
"2015-01-02T05:45:00.000Z",0.67,1.24,0.48,0.32
"2015-01-02T06:00:00.000Z",0.84,1.27,0.56,0.41
"2015-01-02T06:15:00.000Z",0.89,1.22,0.66,0.52
"2015-01-02T06:30:00.000Z",0.9,1.21,0.79,0.59
"2015-01-02T06:45:00.000Z",1.01,1.2,0.88,0.65
"2015-01-02T07:00:00.000Z",1.11,1.15,0.93,0.74
"2015-01-02T07:15:00.000Z",1.03,1.02,0.96,0.8
"2015-01-02T07:30:00.000Z",0.93,0.93,1,0.8
"2015-01-02T07:45:00.000Z",0.96,0.85,1.01,0.79
"2015-01-02T08:00:00.000Z",0.94,0.75,0.97,0.82
"2015-01-02T08:15:00.000Z",0.77,0.57,0.92,0.83
"2015-01-02T08:30:00.000Z",0.66,0.43,0.91,0.78
"2015-01-02T08:45:00.000Z",0.68,0.32,0.9,0.71
"2015-01-02T09:00:00.000Z",0.66,0.18,0.82,0.68
"2015-01-02T09:15:00.000Z",0.55,0.01,0.73,0.64
"2015-01-02T09:30:00.000Z",0.47,-0.12,0.67,0.55
"2015-01-02T09:45:00.000Z",0.44,-0.25,0.63,0.44
"2015-01-02T10:00:00.000Z",0.39,-0.37,0.56,0.34
"2015-01-02T10:15:00.000Z",0.28,-0.48,0.43,0.25
"2015-01-02T10:30:00.000Z",0.15,-0.61,0.28,0.14
"2015-01-02T10:45:00.000Z",0,-0.74,0.17,0
"2015-01-02T11:00:00.000Z",-0.14,-0.85,0.06,-0.15
"2015-01-02T11:15:00.000Z",-0.24,-0.92,-0.05,-0.29
"2015-01-02T11:30:00.000Z",-0.33,-1.02,-0.17,-0.42
"2015-01-02T11:45:00.000Z",-0.46,-1.14,-0.28,-0.53
"2015-01-02T12:00:00.000Z",-0.6,-1.2,-0.39,-0.66
"2015-01-02T12:15:00.000Z",-0.65,-1.18,-0.49,-0.8
"2015-01-02T12:30:00.000Z",-0.65,-1.19,-0.61,-0.87
"2015-01-02T12:45:00.000Z",-0.74,-1.21,-0.73,-0.93
"2015-01-02T13:00:00.000Z",-0.89,-1.18,-0.83,-1
"2015-01-02T13:15:00.000Z",-0.9,-1.05,-0.9,-1.08
"2015-01-02T13:30:00.000Z",-0.81,-0.97,-0.97,-1.07
"2015-01-02T13:45:00.000Z",-0.84,-0.91,-1.03,-1.02
"2015-01-02T14:00:00.000Z",-0.91,-0.82,-1.04,-1.01
"2015-01-02T14:15:00.000Z",-0.79,-0.64,-1,-1
"2015-01-02T14:30:00.000Z",-0.59,-0.51,-0.96,-0.93
"2015-01-02T14:45:00.000Z",-0.57,-0.4,-0.94,-0.81
"2015-01-02T15:00:00.000Z",-0.61,-0.27,-0.88,-0.74
"2015-01-02T15:15:00.000Z",-0.5,-0.1,-0.78,-0.7
"2015-01-02T15:30:00.000Z",-0.35,0.05,-0.7,-0.59
"2015-01-02T15:45:00.000Z",-0.35,0.19,-0.66,-0.45
"2015-01-02T16:00:00.000Z",-0.36,0.32,-0.56,-0.37
"2015-01-02T16:15:00.000Z",-0.29,0.45,-0.39,-0.29
"2015-01-02T16:30:00.000Z",-0.18,0.58,-0.24,-0.19
"2015-01-02T16:45:00.000Z",-0.08,0.71,-0.12,-0.07
"2015-01-02T17:00:00.000Z",0.04,0.83,0.01,0
"2015-01-02T17:15:00.000Z",0.19,0.9,0.15,0.06
"2015-01-02T17:30:00.000Z",0.31,1,0.25,0.14
"2015-01-02T17:45:00.000Z",0.46,1.12,0.33,0.22
"2015-01-02T18:00:00.000Z",0.63,1.19,0.41,0.3
"2015-01-02T18:15:00.000Z",0.71,1.19,0.5,0.38
"2015-01-02T18:30:00.000Z",0.75,1.22,0.61,0.44
"2015-01-02T18:45:00.000Z",0.89,1.25,0.72,0.52
"2015-01-02T19:00:00.000Z",1.04,1.23,0.8,0.63
"2015-01-02T19:15:00.000Z",1.02,1.13,0.88,0.72
"2015-01-02T19:30:00.000Z",0.96,1.06,0.97,0.75
"2015-01-02T19:45:00.000Z",1.03,1.01,1.02,0.77
"2015-01-02T20:00:00.000Z",1.06,0.92,1.01,0.82
"2015-01-02T20:15:00.000Z",0.89,0.75,0.98,0.85
"2015-01-02T20:30:00.000Z",0.75,0.62,0.98,0.82
"2015-01-02T20:45:00.000Z",0.78,0.52,0.96,0.76
"2015-01-02T21:00:00.000Z",0.78,0.38,0.9,0.76
"2015-01-02T21:15:00.000Z",0.64,0.2,0.81,0.74
"2015-01-02T21:30:00.000Z",0.53,0.05,0.77,0.66
"2015-01-02T21:45:00.000Z",0.52,-0.08,0.75,0.56
"2015-01-02T22:00:00.000Z",0.51,-0.21,0.69,0.49
"2015-01-02T22:15:00.000Z",0.41,-0.35,0.59,0.42
"2015-01-02T22:30:00.000Z",0.3,-0.48,0.46,0.31
"2015-01-02T22:45:00.000Z",0.2,-0.61,0.35,0.17
"2015-01-02T23:00:00.000Z",0.07,-0.73,0.25,0.03
"2015-01-02T23:15:00.000Z",-0.06,-0.83,0.12,-0.1
"2015-01-02T23:30:00.000Z",-0.18,-0.95,-0.02,-0.24
"2015-01-02T23:45:00.000Z",-0.32,-1.08,-0.13,-0.38
"2015-01-03T00:00:00.000Z",-0.48,-1.18,-0.23,-0.53
"2015-01-03T00:15:00.000Z",-0.55,-1.2,-0.34,-0.67
"2015-01-03T00:30:00.000Z",-0.57,-1.26,-0.46,-0.78
"2015-01-03T00:45:00.000Z",-0.68,-1.32,-0.59,-0.86
"2015-01-03T01:00:00.000Z",-0.84,-1.32,-0.71,-0.97
"2015-01-03T01:15:00.000Z",-0.88,-1.22,-0.81,-1.07
"2015-01-03T01:30:00.000Z",-0.83,-1.16,-0.91,-1.11
"2015-01-03T01:45:00.000Z",-0.89,-1.13,-1.01,-1.09
"2015-01-03T02:00:00.000Z",-1,-1.04,-1.07,-1.11
"2015-01-03T02:15:00.000Z",-0.95,-0.86,-1.07,-1.13
"2015-01-03T02:30:00.000Z",-0.76,-0.74,-1.07,-1.07
"2015-01-03T02:45:00.000Z",-0.71,-0.64,-1.08,-0.97
"2015-01-03T03:00:00.000Z",-0.75,-0.51,-1.03,-0.91
"2015-01-03T03:15:00.000Z",-0.64,-0.32,-0.93,-0.87
"2015-01-03T03:30:00.000Z",-0.45,-0.16,-0.86,-0.77
"2015-01-03T03:45:00.000Z",-0.43,-0.02,-0.83,-0.62
"2015-01-03T04:00:00.000Z",-0.46,0.13,-0.75,-0.54
"2015-01-03T04:15:00.000Z",-0.39,0.3,-0.6,-0.47
"2015-01-03T04:30:00.000Z",-0.27,0.45,-0.46,-0.35
"2015-01-03T04:45:00.000Z",-0.21,0.59,-0.34,-0.22
"2015-01-03T05:00:00.000Z",-0.14,0.73,-0.19,-0.12
"2015-01-03T05:15:00.000Z",-0.01,0.84,-0.02,-0.05
"2015-01-03T05:30:00.000Z",0.14,0.97,0.11,0.03
"2015-01-03T05:45:00.000Z",0.32,1.11,0.21,0.12
"2015-01-03T06:00:00.000Z",0.5,1.21,0.31,0.21
"2015-01-03T06:15:00.000Z",0.61,1.26,0.41,0.29
"2015-01-03T06:30:00.000Z",0.7,1.33,0.51,0.35
"2015-01-03T06:45:00.000Z",0.86,1.41,0.61,0.43
"2015-01-03T07:00:00.000Z",1.04,1.43,0.71,0.55
"2015-01-03T07:15:00.000Z",1.07,1.36,0.82,0.66
"2015-01-03T07:30:00.000Z",1.06,1.33,0.95,0.73
"2015-01-03T07:45:00.000Z",1.17,1.31,1.04,0.78
"2015-01-03T08:00:00.000Z",1.25,1.24,1.07,0.87
"2015-01-03T08:15:00.000Z",1.13,1.08,1.09,0.93
"2015-01-03T08:30:00.000Z",1.01,0.97,1.12,0.91
"2015-01-03T08:45:00.000Z",1.03,0.88,1.12,0.89
"2015-01-03T09:00:00.000Z",0.99,0.75,1.07,0.91
"2015-01-03T09:15:00.000Z",0.83,0.55,1,0.92
"2015-01-03T09:30:00.000Z",0.72,0.4,0.98,0.85
"2015-01-03T09:45:00.000Z",0.72,0.26,0.96,0.76
"2015-01-03T10:00:00.000Z",0.7,0.11,0.87,0.71
"2015-01-03T10:15:00.000Z",0.59,-0.07,0.77,0.66
"2015-01-03T10:30:00.000Z",0.5,-0.21,0.69,0.56
"2015-01-03T10:45:00.000Z",0.44,-0.35,0.63,0.42
"2015-01-03T11:00:00.000Z",0.36,-0.49,0.54,0.3
"2015-01-03T11:15:00.000Z",0.23,-0.61,0.4,0.19
"2015-01-03T11:30:00.000Z",0.08,-0.75,0.23,0.06
"2015-01-03T11:45:00.000Z",-0.09,-0.9,0.11,-0.1
"2015-01-03T12:00:00.000Z",-0.25,-1.03,0,-0.28
"2015-01-03T12:15:00.000Z",-0.36,-1.1,-0.12,-0.44
"2015-01-03T12:30:00.000Z",-0.43,-1.21,-0.25,-0.56
"2015-01-03T12:45:00.000Z",-0.57,-1.32,-0.38,-0.68
"2015-01-03T13:00:00.000Z",-0.72,-1.38,-0.5,-0.82
"2015-01-03T13:15:00.000Z",-0.78,-1.33,-0.62,-0.96
"2015-01-03T13:30:00.000Z",-0.77,-1.33,-0.75,-1.04
"2015-01-03T13:45:00.000Z",-0.87,-1.34,-0.89,-1.09
"2015-01-03T14:00:00.000Z",-1.03,-1.29,-0.99,-1.15
"2015-01-03T14:15:00.000Z",-1.05,-1.14,-1.05,-1.22
"2015-01-03T14:30:00.000Z",-0.94,-1.04,-1.11,-1.21
"2015-01-03T14:45:00.000Z",-0.94,-0.96,-1.17,-1.14
"2015-01-03T15:00:00.000Z",-1,-0.85,-1.17,-1.11
"2015-01-03T15:15:00.000Z",-0.86,-0.66,-1.11,-1.1
"2015-01-03T15:30:00.000Z",-0.64,-0.51,-1.06,-1.01
"2015-01-03T15:45:00.000Z",-0.63,-0.39,-1.03,-0.87
"2015-01-03T16:00:00.000Z",-0.66,-0.25,-0.97,-0.8
"2015-01-03T16:15:00.000Z",-0.56,-0.06,-0.86,-0.75
"2015-01-03T16:30:00.000Z",-0.41,0.11,-0.75,-0.63
"2015-01-03T16:45:00.000Z",-0.4,0.25,-0.68,-0.48
"2015-01-03T17:00:00.000Z",-0.4,0.39,-0.56,-0.38
"2015-01-03T17:15:00.000Z",-0.32,0.52,-0.37,-0.3
"2015-01-03T17:30:00.000Z",-0.18,0.66,-0.21,-0.19
"2015-01-03T17:45:00.000Z",-0.04,0.81,-0.09,-0.09
"2015-01-03T18:00:00.000Z",0.11,0.93,0.04,-0.02
"2015-01-03T18:15:00.000Z",0.26,1.01,0.17,0.06
"2015-01-03T18:30:00.000Z",0.39,1.11,0.27,0.14
"2015-01-03T18:45:00.000Z",0.55,1.23,0.36,0.22
"2015-01-03T19:00:00.000Z",0.74,1.29,0.44,0.31
"2015-01-03T19:15:00.000Z",0.82,1.27,0.55,0.41
"2015-01-03T19:30:00.000Z",0.85,1.28,0.68,0.49
"2015-01-03T19:45:00.000Z",1,1.31,0.8,0.58
"2015-01-03T20:00:00.000Z",1.13,1.27,0.88,0.69
"2015-01-03T20:15:00.000Z",1.09,1.14,0.96,0.78
"2015-01-03T20:30:00.000Z",1,1.06,1.04,0.8
"2015-01-03T20:45:00.000Z",1.06,0.99,1.07,0.81
"2015-01-03T21:00:00.000Z",1.06,0.88,1.04,0.86
"2015-01-03T21:15:00.000Z",0.87,0.7,1,0.89
"2015-01-03T21:30:00.000Z",0.74,0.55,0.99,0.84
"2015-01-03T21:45:00.000Z",0.77,0.43,0.98,0.77
"2015-01-03T22:00:00.000Z",0.75,0.29,0.9,0.76
"2015-01-03T22:15:00.000Z",0.62,0.1,0.81,0.73
"2015-01-03T22:30:00.000Z",0.51,-0.05,0.76,0.65
"2015-01-03T22:45:00.000Z",0.51,-0.19,0.74,0.53
"2015-01-03T23:00:00.000Z",0.48,-0.33,0.68,0.44
"2015-01-03T23:15:00.000Z",0.38,-0.46,0.56,0.36
"2015-01-03T23:30:00.000Z",0.25,-0.6,0.4,0.24
"2015-01-03T23:45:00.000Z",0.12,-0.74,0.28,0.09
"2015-01-04T00:00:00.000Z",-0.05,-0.87,0.17,-0.07
"2015-01-04T00:15:00.000Z",-0.16,-0.96,0.05,-0.22
"2015-01-04T00:30:00.000Z",-0.26,-1.08,-0.09,-0.36
"2015-01-04T00:45:00.000Z",-0.42,-1.21,-0.21,-0.49
"2015-01-04T01:00:00.000Z",-0.58,-1.3,-0.32,-0.64
"2015-01-04T01:15:00.000Z",-0.64,-1.3,-0.43,-0.79
"2015-01-04T01:30:00.000Z",-0.64,-1.33,-0.56,-0.89
"2015-01-04T01:45:00.000Z",-0.75,-1.37,-0.7,-0.96
"2015-01-04T02:00:00.000Z",-0.92,-1.35,-0.81,-1.06
"2015-01-04T02:15:00.000Z",-0.96,-1.21,-0.91,-1.16
"2015-01-04T02:30:00.000Z",-0.88,-1.13,-1,-1.17
"2015-01-04T02:45:00.000Z",-0.92,-1.07,-1.09,-1.13
"2015-01-04T03:00:00.000Z",-1.02,-0.97,-1.12,-1.12
"2015-01-04T03:15:00.000Z",-0.92,-0.77,-1.1,-1.12
"2015-01-04T03:30:00.000Z",-0.68,-0.62,-1.07,-1.05
"2015-01-04T03:45:00.000Z",-0.64,-0.5,-1.06,-0.92
"2015-01-04T04:00:00.000Z",-0.69,-0.36,-0.99,-0.84
"2015-01-04T04:15:00.000Z",-0.57,-0.15,-0.87,-0.8
"2015-01-04T04:30:00.000Z",-0.37,0.03,-0.79,-0.68
"2015-01-04T04:45:00.000Z",-0.35,0.18,-0.74,-0.52
"2015-01-04T05:00:00.000Z",-0.39,0.33,-0.64,-0.42
"2015-01-04T05:15:00.000Z",-0.3,0.49,-0.46,-0.34
"2015-01-04T05:30:00.000Z",-0.18,0.65,-0.3,-0.23
"2015-01-04T05:45:00.000Z",-0.1,0.81,-0.17,-0.09
"2015-01-04T06:00:00.000Z",0.02,0.94,-0.01,0
"2015-01-04T06:15:00.000Z",0.18,1.05,0.14,0.06
"2015-01-04T06:30:00.000Z",0.35,1.18,0.27,0.15
"2015-01-04T06:45:00.000Z",0.53,1.32,0.37,0.25
"2015-01-04T07:00:00.000Z",0.74,1.42,0.46,0.34
"2015-01-04T07:15:00.000Z",0.84,1.44,0.56,0.42
"2015-01-04T07:30:00.000Z",0.91,1.49,0.69,0.5
"2015-01-04T07:45:00.000Z",1.08,1.55,0.8,0.6
"2015-01-04T08:00:00.000Z",1.25,1.54,0.91,0.73
"2015-01-04T08:15:00.000Z",1.24,1.44,1.01,0.83
"2015-01-04T08:30:00.000Z",1.2,1.38,1.13,0.88
"2015-01-04T08:45:00.000Z",1.29,1.33,1.19,0.92
"2015-01-04T09:00:00.000Z",1.33,1.23,1.2,0.99
"2015-01-04T09:15:00.000Z",1.16,1.05,1.18,1.04
"2015-01-04T09:30:00.000Z",1,0.91,1.2,1
"2015-01-04T09:45:00.000Z",1.02,0.8,1.19,0.96
"2015-01-04T10:00:00.000Z",1,0.65,1.12,0.97
"2015-01-04T10:15:00.000Z",0.84,0.44,1.02,0.96
"2015-01-04T10:30:00.000Z",0.72,0.27,0.99,0.87
"2015-01-04T10:45:00.000Z",0.72,0.12,0.96,0.75
"2015-01-04T11:00:00.000Z",0.7,-0.04,0.89,0.69
"2015-01-04T11:15:00.000Z",0.58,-0.21,0.77,0.62
"2015-01-04T11:30:00.000Z",0.47,-0.37,0.65,0.49
"2015-01-04T11:45:00.000Z",0.37,-0.52,0.56,0.33
"2015-01-04T12:00:00.000Z",0.24,-0.67,0.44,0.18
"2015-01-04T12:15:00.000Z",0.09,-0.8,0.29,0.04
"2015-01-04T12:30:00.000Z",-0.07,-0.94,0.12,-0.11
"2015-01-04T12:45:00.000Z",-0.24,-1.11,-0.01,-0.28
"2015-01-04T13:00:00.000Z",-0.42,-1.23,-0.13,-0.46
"2015-01-04T13:15:00.000Z",-0.52,-1.29,-0.25,-0.63
"2015-01-04T13:30:00.000Z",-0.57,-1.38,-0.39,-0.76
"2015-01-04T13:45:00.000Z",-0.69,-1.48,-0.54,-0.87
"2015-01-04T14:00:00.000Z",-0.87,-1.51,-0.67,-1.01
"2015-01-04T14:15:00.000Z",-0.94,-1.43,-0.8,-1.15
"2015-01-04T14:30:00.000Z",-0.92,-1.4,-0.93,-1.23
"2015-01-04T14:45:00.000Z",-1.01,-1.38,-1.06,-1.24
"2015-01-04T15:00:00.000Z",-1.17,-1.31,-1.16,-1.28
"2015-01-04T15:15:00.000Z",-1.16,-1.13,-1.19,-1.33
"2015-01-04T15:30:00.000Z",-1,-1.01,-1.23,-1.29
"2015-01-04T15:45:00.000Z",-0.96,-0.91,-1.26,-1.19
"2015-01-04T16:00:00.000Z",-0.99,-0.79,-1.24,-1.14
"2015-01-04T16:15:00.000Z",-0.86,-0.58,-1.16,-1.12
"2015-01-04T16:30:00.000Z",-0.66,-0.42,-1.09,-1.01
"2015-01-04T16:45:00.000Z",-0.63,-0.28,-1.07,-0.87
"2015-01-04T17:00:00.000Z",-0.66,-0.12,-1,-0.78
"2015-01-04T17:15:00.000Z",-0.58,0.06,-0.85,-0.71
"2015-01-04T17:30:00.000Z",-0.45,0.23,-0.71,-0.59
"2015-01-04T17:45:00.000Z",-0.4,0.38,-0.61,-0.44
"2015-01-04T18:00:00.000Z",-0.36,0.52,-0.46,-0.33
"2015-01-04T18:15:00.000Z",-0.25,0.65,-0.27,-0.25
"2015-01-04T18:30:00.000Z",-0.1,0.79,-0.11,-0.17
"2015-01-04T18:45:00.000Z",0.07,0.94,0,-0.07
"2015-01-04T19:00:00.000Z",0.27,1.06,0.11,0.02
"2015-01-04T19:15:00.000Z",0.41,1.12,0.23,0.1
"2015-01-04T19:30:00.000Z",0.51,1.22,0.33,0.18
"2015-01-04T19:45:00.000Z",0.69,1.32,0.43,0.26
"2015-01-04T20:00:00.000Z",0.88,1.36,0.53,0.37
"2015-01-04T20:15:00.000Z",0.94,1.31,0.65,0.5
"2015-01-04T20:30:00.000Z",0.95,1.29,0.79,0.58
"2015-01-04T20:45:00.000Z",1.08,1.29,0.91,0.66
"2015-01-04T21:00:00.000Z",1.19,1.23,0.97,0.76
"2015-01-04T21:15:00.000Z",1.1,1.07,1.02,0.84
"2015-01-04T21:30:00.000Z",0.98,0.96,1.07,0.84
"2015-01-04T21:45:00.000Z",1.02,0.88,1.08,0.83
"2015-01-04T22:00:00.000Z",0.99,0.75,1.03,0.87
"2015-01-04T22:15:00.000Z",0.81,0.55,0.97,0.88
"2015-01-04T22:30:00.000Z",0.69,0.4,0.96,0.82
"2015-01-04T22:45:00.000Z",0.7,0.26,0.94,0.74
"2015-01-04T23:00:00.000Z",0.68,0.11,0.86,0.71
"2015-01-04T23:15:00.000Z",0.57,-0.07,0.77,0.67
"2015-01-04T23:30:00.000Z",0.48,-0.22,0.7,0.57
"2015-01-04T23:45:00.000Z",0.44,-0.36,0.66,0.44
"2015-01-05T00:00:00.000Z",0.38,-0.49,0.58,0.33
"2015-01-05T00:15:00.000Z",0.26,-0.62,0.44,0.23
"2015-01-05T00:30:00.000Z",0.12,-0.76,0.27,0.09
"2015-01-05T00:45:00.000Z",-0.05,-0.91,0.15,-0.07
"2015-01-05T01:00:00.000Z",-0.21,-1.03,0.04,-0.24
"2015-01-05T01:15:00.000Z",-0.32,-1.1,-0.08,-0.4
